省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,pH类别,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/28 12:00,Ⅱ,16.12,7.47,-,7.983,1.315,0.1445,0.076,1.426,161.3,27.1,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/28 12:00,Ⅱ,16.14,8.29,-,9.992,2.894,0.0698,0.0529,2.418,387.7,11,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/28 12:00,Ⅱ,20.42,6.81,-,9.2,1.5,0.2268,0.0628,2.194,284.9,9.7,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/28 12:00,Ⅱ,18.34,8.15,-,10.86,2.303,0.025,0.062,1.947,120.22,4.86,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/28 12:00,Ⅱ,15.76,7.36,-,8.789,1.31,0.07,0.0494,1.931,194.8,11,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/28 12:00,Ⅱ,17.75,7.58,-,7.888,1.77,0.1797,0.0646,2.1619,170.378,27.79,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/28 16:00,Ⅰ,19.3,7.43,-,10.368,0.54,0.03,0.005,0.773,122.2,1.5,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/28 16:00,Ⅱ,18.2,7.94,-,10.464,0.34,0.025,0.025,0.605,113.8,2.8,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/3/28 16:00,劣Ⅴ,18.75,9.02,-,12.828,1.14,0.06,0.1818,2.06,141.7,4.1,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/28 16:00,Ⅱ,16.51,7.88,-,9.244,1.464,0.0265,0.0483,2.195,146.8,10.6,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/28 16:00,Ⅱ,16.22,7.46,-,7.784,1.392,0.1379,0.0772,1.38,163.6,26.6,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/28 16:00,Ⅱ,16.99,8.65,-,12.004,3.399,0.0435,0.0711,2.426,379.3,13,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/28 16:00,Ⅱ,22.25,6.58,-,8.778,1.7,0.2388,0.0611,2.227,277.8,10.1,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/28 16:00,Ⅱ,19.76,8.6,-,10.34,3.188,0.025,0.09,2.212,118.86,4.3,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/28 16:00,Ⅱ,16.05,7.37,-,8.502,1.477,0.1,0.0495,2.037,208,17.2,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/28 16:00,Ⅱ,18.05,7.608,-,7.942,1.78,0.1887,0.0692,2.1794,173.469,34.166,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/28 20:00,Ⅰ,18.1,7.34,-,10.354,0.93,0.03,0.007,0.75,119.1,1.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/3/28 20:00,Ⅲ,18.98,7.59,-,8.44,3.32,0.4249,0.1152,3.382,408,108.2,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/28 20:00,Ⅱ,17.2,7.9,-,10.475,0.34,0.025,0.025,0.605,113.9,2.7,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/3/28 20:00,劣Ⅴ,18.39,9.2,-,13.711,1.3,0.07,0.0191,1.014,146.1,,,,维护
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/28 20:00,Ⅱ,16.42,7.88,-,9.241,1.455,0.0266,0.0379,2.084,145.5,11.1,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/28 20:00,Ⅱ,15.93,7.47,-,7.887,1.161,0.1065,0.0703,1.289,157.9,23.9,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/28 20:00,Ⅲ,17.28,8.76,-,11.81,4.598,0.0313,0.1066,2.464,373.4,14.2,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/28 20:00,Ⅱ,19.89,6.7,-,9.373,1.3,0.2791,0.0636,2.28,242.7,7.5,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/28 20:00,Ⅱ,15.79,7.37,-,8.6,1.477,0.1,0.0495,2.037,202.1,11.8,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/28 20:00,Ⅱ,17.79,7.592,-,7.721,1.78,0.1887,0.0692,2.1794,174.113,43.136,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/29 0:00,Ⅰ,17.6,7.87,-,10.374,0.29,0.025,0.005,0.597,113.9,2.7,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/29 0:00,Ⅱ,17.94,7.72,-,9.86,2.066,0.025,0.058,1.791,118.41,4.16,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/29 0:00,Ⅱ,15.79,7.37,-,8.653,1.3,0.07,0.0492,1.914,198.2,11.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/29 0:00,Ⅱ,17.64,7.568,-,7.689,1.78,0.1887,0.0692,2.1794,175.865,30.845,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/29 4:00,Ⅰ,17.5,7.81,-,10.254,0.34,0.025,0.005,0.574,113.9,2.7,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/29 4:00,Ⅱ,17.7,7.56,-,10.06,2.185,0.025,0.057,2.056,118.27,4.28,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/29 4:00,Ⅱ,16.84,7.37,-,8.627,1.821,0.07,0.053,2.274,221.1,27.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/29 4:00,Ⅱ,17.43,7.484,-,7.502,1.89,0.167,0.0704,2.2521,181.987,29.616,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/29 8:00,Ⅰ,17.4,7.82,-,10.295,0.44,0.025,0.005,0.539,114,2.7,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/29 8:00,Ⅱ,17.79,7.58,-,9.66,2.185,0.025,0.061,1.967,118.19,3.76,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/29 8:00,Ⅱ,16.68,7.36,-,8.53,1.702,0.1,0.0549,2.443,218.7,20.4,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/29 8:00,Ⅱ,17.56,7.551,-,7.801,1.92,0.2721,0.0735,2.286,180.862,42.211,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/29 12:00,Ⅰ,17.7,7.37,-,10.303,0.86,0.03,0.005,0.773,116,1.5,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/29 12:00,Ⅰ,18.5,7.89,-,10.258,0.38,0.025,0.005,0.573,114,2.7,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/29 12:00,Ⅱ,18.71,8.37,-,10.39,2.627,0.025,0.079,2.117,116.62,3.76,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/29 12:00,Ⅱ,16.64,7.36,-,8.439,1.654,0.09,0.0553,2.39,217.1,16.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/29 12:00,Ⅱ,18.46,7.586,-,7.531,1.98,0.238,0.0718,2.226,182.816,34.115,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/29 16:00,Ⅰ,18.5,7.35,-,10.209,0.74,0.06,0.005,0.83,115,1.6,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/29 16:00,Ⅰ,18.1,7.95,-,10.438,0.34,0.025,0.005,0.501,113.9,2.9,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/29 16:00,Ⅱ,16.61,8,-,9.493,1.572,0.025,0.0342,1.957,146.8,9,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/29 16:00,Ⅱ,16.22,7.47,-,7.926,1.015,0.1006,0.0636,0.79,152.6,24.6,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/29 16:00,Ⅱ,19.08,8.66,-,10.28,2.613,0.025,0.069,2.076,117.61,3.66,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/29 16:00,Ⅱ,16.94,7.36,-,8.366,1.74,0.09,0.0541,2.36,220,34.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/29 16:00,Ⅱ,18.59,7.626,-,7.521,1.91,0.2098,0.0719,2.2481,178.25,39.849,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/29 20:00,Ⅰ,18.3,7.37,-,10.217,0.87,0.04,0.01,0.796,115.6,1.6,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/29 20:00,Ⅰ,18.1,7.91,-,10.347,0.43,0.025,0.005,0.686,114,2.7,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/29 20:00,Ⅱ,16.42,7.97,-,9.434,1.732,0.025,0.0337,1.837,149.2,10,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/29 20:00,Ⅱ,16.12,7.45,-,7.524,0.861,0.0861,0.0613,0.829,150.6,24.6,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/29 20:00,Ⅱ,18.38,8.23,-,9.78,1.756,0.025,0.049,1.771,115.85,3.7,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/29 20:00,Ⅱ,16.54,7.36,-,8.489,1.509,0.1,0.0538,2.328,211.7,14.3,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/29 20:00,Ⅱ,18.4,7.614,-,7.502,1.93,0.2659,0.0757,2.1878,176.752,58.608,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/30 0:00,Ⅰ,18,7.31,-,10.207,0.81,0.025,0.007,0.761,114.5,1.6,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/30 0:00,-3,17.8,7.85,-,10.31,,0.025,0.005,0.61,114.1,2.7,,,维护
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/30 0:00,Ⅱ,16.13,7.82,-,8.817,1.68,0.025,0.0295,2.013,145.8,9.3,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/30 0:00,Ⅱ,16.22,7.46,-,7.527,0.899,0.0894,0.06,1.128,151.3,21.8,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/30 0:00,Ⅱ,18.75,8.48,-,10.33,1.742,0.025,0.044,1.811,116.27,3.67,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/30 0:00,Ⅱ,16.46,7.37,-,8.549,1.396,0.1,0.0539,2.179,207.4,13.2,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/30 0:00,Ⅱ,18.19,7.617,-,7.339,1.9,0.2657,0.0756,2.2012,179.76,60.011,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/30 4:00,Ⅰ,17.9,7.27,-,10.082,0.88,0.025,0.01,1.032,114.2,1.6,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/30 4:00,Ⅰ,18,7.83,-,10.202,0.25,0.025,0.005,0.689,114,2.7,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/30 4:00,Ⅱ,16.51,7.97,-,9.388,1.468,0.0339,0.0308,2.091,148.4,7.7,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/30 4:00,Ⅱ,16.22,7.44,-,7.221,1.107,0.0674,0.0572,1.042,149.2,20.1,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/30 4:00,Ⅱ,18.81,8.18,-,9.9,1.948,0.025,0.045,1.934,116.12,3.66,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/30 4:00,Ⅱ,16.96,7.36,-,8.308,1.831,0.1,0.0597,2.308,221.9,50.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/30 4:00,Ⅱ,18.1,7.595,-,7.296,1.83,0.2579,0.072,0.8084,180.054,39.409,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/30 8:00,Ⅱ,17.7,7.27,-,10.167,0.77,0.05,0.012,0.825,114.3,1.6,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/30 8:00,Ⅰ,18,7.83,-,10.229,0.49,0.025,0.005,0.778,113.8,2.8,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/30 8:00,Ⅱ,16.13,7.66,-,8.35,2.425,0.0744,0.0428,1.877,158.2,14.1,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/30 8:00,Ⅱ,16.13,7.47,-,7.646,0.899,0.089,0.0597,0.965,149.9,23.2,,,正常
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2021/3/30 8:00,Ⅱ,13.52,7.33,-,6.593,1.294,0.025,0.0164,0.818,125.1,4,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/30 8:00,Ⅱ,19.16,7.95,-,9.4,2.111,0.025,0.066,1.947,114.64,3.67,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/30 8:00,Ⅱ,16.47,7.36,-,8.432,1.52,0.1,0.0556,2.254,207.9,13.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/30 8:00,Ⅱ,17.93,7.586,-,7.376,1.96,0.0959,0.0828,0.05,179.559,69.646,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/30 12:00,Ⅰ,17.7,7.38,-,10.319,0.89,0.025,0.009,0.865,114.8,1.6,,,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/3/30 12:00,Ⅲ,19.1,7.6,-,8.549,3.07,0.3181,0.108,2.957,402.4,119.4,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/30 12:00,Ⅰ,18.2,7.91,-,10.403,0.51,0.025,0.005,0.623,113.7,2.8,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/3/30 12:00,Ⅱ,18.33,8.9,-,12.863,1.53,0.07,0.0176,0.972,139.2,1.9,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/30 12:00,Ⅱ,16.32,7.86,-,9.126,1.667,0.0501,0.0351,2.015,155.9,8.7,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/30 12:00,Ⅱ,16.22,7.45,-,7.43,1.076,0.0758,0.057,0.846,148.9,19.7,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/30 12:00,-3,15.72,7.77,-,8.591,,,,,390.3,11,,,维护
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2021/3/30 12:00,Ⅱ,13.63,7.33,-,6.607,1.22,0.0286,0.0174,0.828,125.9,5.3,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/30 12:00,Ⅱ,18.12,6.9,-,9.743,1.4,0.2557,0.0655,2.216,253.4,7.8,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/30 12:00,Ⅱ,19.51,8.72,-,10.05,2.509,0.025,0.061,1.974,119.88,3.76,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/30 12:00,Ⅱ,16.39,7.36,-,8.559,1.273,0.1,0.053,1.956,200.6,11.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/30 12:00,Ⅱ,17.92,7.617,-,7.417,1.94,0.1503,0.0771,2.2184,181.496,53.144,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/30 16:00,Ⅱ,17.2,7.37,-,10.356,0.85,0.025,0.011,0.727,115.9,1.6,,,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/3/30 16:00,Ⅲ,19.07,7.6,-,8.661,3.21,0.3433,0.1087,2.997,392.5,127.1,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/30 16:00,Ⅰ,18.1,7.9,-,10.325,0.3,0.025,0.005,0.569,113.9,2.7,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/3/30 16:00,Ⅲ,17.37,8.99,-,13.284,1.81,0.07,0.0255,1.149,143,3.4,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/30 16:00,Ⅱ,16.51,8.01,-,9.431,1.529,0.025,0.0269,2.037,147.9,7.1,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/30 16:00,Ⅱ,16.12,7.46,-,7.68,1.269,0.0727,0.0582,1.276,149.2,18.7,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/30 16:00,Ⅱ,15.29,7.73,-,8.224,3.005,0.1189,0.0521,2.542,397.8,11.3,,,正常
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2021/3/30 16:00,Ⅱ,13.66,7.35,-,6.638,1.252,0.025,0.0168,0.837,126.6,6,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/30 16:00,Ⅱ,18.32,6.89,-,9.534,1.5,0.2188,0.0696,2.249,285.7,9.7,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/30 16:00,Ⅱ,19.51,8.64,-,10.16,2.007,0.025,0.058,1.886,119.22,3.76,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/30 16:00,Ⅱ,16.88,7.37,-,8.387,1.944,0.1,0.0566,2.147,218.8,68.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/30 16:00,Ⅱ,17.74,7.593,-,7.506,1.87,0.159,0.0759,2.2583,178.658,38.682,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/30 20:00,Ⅱ,16.8,7.34,-,10.344,0.92,0.025,0.013,0.825,116.8,1.7,,,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/3/30 20:00,Ⅲ,18.87,7.62,-,8.753,2.9,0.3879,0.1135,2.937,385.8,110.3,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/30 20:00,Ⅰ,17.9,7.84,-,10.203,0.35,0.025,0.005,0.565,113.9,2.8,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/3/30 20:00,Ⅱ,17.04,8.77,-,12.41,1.74,0.07,0.021,1.074,145.4,2.9,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/30 20:00,Ⅱ,16.03,7.65,-,8.45,1.957,0.0794,0.0441,1.82,162.2,18,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/30 20:00,Ⅱ,16.22,7.45,-,7.503,1.176,0.0784,0.0669,0.897,153.3,26.3,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/30 20:00,Ⅱ,14.87,7.63,-,7.544,2.586,0.1262,0.0422,2.152,402.8,10.8,,,正常
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2021/3/30 20:00,Ⅱ,13.41,7.35,-,6.782,1.245,0.0267,0.0157,0.835,123,6.3,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/30 20:00,Ⅱ,17.31,6.98,-,9.873,1.5,0.2976,0.067,2.254,243.5,10.8,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/30 20:00,Ⅱ,18.79,8.24,-,9.69,2.14,0.025,0.045,2.022,116.87,4.29,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/30 20:00,Ⅱ,16.49,7.35,-,8.375,1.31,0.12,0.0521,2.174,207.4,13.9,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/30 20:00,Ⅱ,17.49,7.617,-,7.542,1.88,0.1624,0.0774,2.2341,180.788,54.305,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/31 0:00,Ⅱ,16.5,7.32,-,10.299,0.85,0.025,0.016,0.83,117.9,1.6,,,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/3/31 0:00,Ⅲ,18.56,7.62,-,8.607,2.81,0.4194,0.1143,2.867,393.6,91.7,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/31 0:00,Ⅰ,17.6,7.84,-,10.27,0.34,0.025,0.005,0.606,114,2.7,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/3/31 0:00,Ⅱ,16.81,8.57,-,12.23,1.61,0.06,0.0173,1.032,144.5,1.8,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/31 0:00,Ⅱ,16.22,7.91,-,9.063,1.511,0.025,0.0276,1.958,147.2,8.1,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/31 0:00,Ⅱ,16.24,7.44,-,7.396,1.138,0.0798,0.0617,1.08,153.4,22.1,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/31 0:00,Ⅱ,14.45,7.58,-,7.094,2.517,0.139,0.0417,2.224,405,10.6,,,正常
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2021/3/31 0:00,Ⅱ,13.35,7.32,-,6.603,1.211,0.0332,0.0161,0.839,122.8,6,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/31 0:00,Ⅱ,16.8,7,-,9.976,1.5,0.2948,0.0645,2.235,238.5,10.5,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/31 0:00,Ⅱ,18.62,8.04,-,9.69,1.771,0.025,0.048,1.818,117.57,4.27,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/31 0:00,Ⅱ,16.74,7.41,-,8.549,1.847,0.17,0.0552,2.314,219.1,34.4,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/31 0:00,Ⅱ,17.34,7.543,-,7.34,1.97,0.2378,0.0792,2.2779,188.622,37.494,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/31 4:00,Ⅱ,16.2,7.26,-,10.226,0.73,0.025,0.014,0.767,117.2,1.6,,,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/3/31 4:00,Ⅲ,18.59,7.6,-,8.393,3.02,0.4152,0.1131,2.952,394,101,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/31 4:00,Ⅰ,17.4,7.79,-,10.204,0.36,0.025,0.005,0.581,113.8,2.8,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/3/31 4:00,Ⅱ,16.47,8.33,-,11.83,1.36,0.09,0.0137,0.987,139.9,1.5,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/31 4:00,Ⅱ,15.93,7.78,-,8.554,1.433,0.033,0.0272,2.068,147.5,8.9,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/31 4:00,Ⅱ,16.12,7.45,-,7.623,1.069,0.0907,0.0638,1.197,154.8,22.2,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/31 4:00,Ⅱ,14.45,7.59,-,7.297,2.474,0.1716,0.0443,2.08,394.4,14.6,,,正常
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2021/3/31 4:00,Ⅱ,13.55,7.34,-,6.681,1.194,0.0385,0.0171,0.843,125.3,5.2,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/31 4:00,Ⅱ,16.34,7.04,-,10.045,1.5,0.2767,0.0654,2.205,246.8,8.7,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/31 4:00,Ⅱ,18.36,8.03,-,9.68,2.155,0.025,0.049,1.798,117.93,4.3,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/31 4:00,Ⅱ,16.56,7.39,-,8.519,1.864,0.14,0.0591,2.421,216.2,33.5,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/31 4:00,Ⅱ,17.09,7.567,-,7.439,1.86,0.1726,0.0785,2.3054,179.251,37.239,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/31 8:00,Ⅰ,16.1,7.26,-,10.18,0.79,0.04,0.009,0.75,116.6,1.6,,,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/3/31 8:00,Ⅲ,18.61,7.62,-,8.474,3.22,0.3986,0.1109,2.947,399,125.3,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/3/31 8:00,Ⅰ,17.2,7.77,-,10.16,0.48,0.025,0.005,0.867,113,3,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/3/31 8:00,Ⅱ,16.39,8.19,-,11.607,1.23,0.08,0.0137,0.96,137,1.8,,,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/3/31 8:00,Ⅱ,16.13,7.59,-,8.066,2.802,0.1022,0.0549,2.148,167.5,22.7,,,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/3/31 8:00,Ⅱ,16.21,7.46,-,7.736,1.161,0.0913,0.0714,1.46,154.9,33.3,,,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/3/31 8:00,Ⅱ,14.86,7.64,-,7.879,2.603,0.1461,0.0476,2.471,385,14.7,,,正常
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2021/3/31 8:00,Ⅱ,13.54,7.36,-,6.796,1.296,0.0554,0.0233,1.084,124.8,15.5,,,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/3/31 8:00,Ⅱ,16.1,7.06,-,10.157,1.2,0.2766,0.0641,2.284,240.5,10,,,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/3/31 8:00,Ⅱ,18.16,7.8,-,9.77,1.889,0.025,0.057,1.995,117.4,4.23,,,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/3/31 8:00,Ⅳ,16.67,7.42,-,8.482,6.031,0.82,0.1992,3.124,220.3,25.7,,,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/3/31 8:00,Ⅱ,16.98,7.589,-,7.549,1.98,0.2991,0.0841,2.3347,179.589,63.806,,,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/3/31 12:00,Ⅰ,16.2,7.25,-,10.203,1.02,0.025,0.01,0.75,116.4,1.6,,,正常
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/3/31 12:00,Ⅲ,19.04,7.6,-,8.426,3.19,0.3789,0.1134,3.042,403.4,107.8,,,正常
