水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
20.22,7.551,6.046,1.24,0.3764,0.0775,1.7891,238.533,58.126
21.39,7.63,9.431,5.65,0.2341,0.1487,2.859,333.1,292.7
19.91,7.34,6.445,2.714,0.1273,0.0571,2.861,399.6,7
22.46,7.62,9.288,4.45,0.2851,0.147,2.794,330.1,173.5
21.14,7.31,6.546,2.571,0.11,0.0581,2.748,401.2,7.4
22.1,7.695,6.433,1.37,0.3552,0.0782,1.9307,248.584,57.348
22.71,7.59,8.989,3.42,0.2722,0.1332,2.457,336.5,145.8
22.03,7.38,7.358,2.669,0.1093,0.0618,2.815,400.3,8.1
22.37,7.63,9.357,3.29,0.2794,0.1241,2.446,342.1,125.9
21.67,7.37,6.999,2.794,0.1178,0.0606,2.604,403.8,8.1
20.66,7.897,7.071,1.37,0.3552,0.0782,1.9307,142.025,46.052
22.19,7.64,9.648,2.98,0.2636,0.1178,2.441,339.9,121.8
21.33,7.28,5.902,2.749,0.1231,0.0616,2.665,403.9,8.3
20.56,7.855,7.036,1.37,0.3552,0.0782,1.9307,142.007,37.736
21.8,7.62,9.272,2.92,0.2674,0.1208,2.452,339.4,94.3
21.04,7.28,6.347,2.642,0.1283,0.0634,2.613,400.3,6.8
20.53,7.81,6.896,0.99,0.1843,0.0616,1.4845,140.551,29.245
22.18,7.61,9.17,4.16,0.2468,0.1251,2.43,353.2,169.5
21.14,7.34,6.987,2.616,0.1474,0.0667,2.865,397.1,7.5
20.55,7.839,7.059,1.2,0.2553,0.0657,1.411,140.765,56.565
23.46,7.57,8.683,3.53,0.2788,0.1255,2.463,351.7,134.5
21.73,7.27,6.59,2.642,0.1054,0.0597,2.841,395.2,7.4
20.92,7.975,7.279,1.11,0.2779,0.0692,1.4183,142.998,59.396
23.56,7.55,8.462,2.25,0.2636,0.1148,2.473,357.1,137.3
22.5,7.34,6.726,2.874,0.1242,0.0612,2.64,394.1,6.6
22.81,7.54,8.387,2.82,0.2548,0.126,2.634,377.2,98.1
22.53,7.41,8.226,3.016,0.1363,0.067,2.525,395.6,6
20.68,8.1,7.526,1.13,0.2504,0.0632,1.3394,134.28,49.197
22.58,7.55,8.425,2.78,0.4948,0.1174,2.719,372.8,107.6
21.92,7.38,7.507,3.016,0.1363,0.067,2.525,396,5.7
20.55,8.032,7.362,1.13,0.2504,0.0632,1.3394,136.292,32.074
22.38,7.56,8.444,2.91,0.4982,0.1165,2.612,361.2,125.8
21.33,7.24,5.933,3.034,0.1677,0.0681,2.559,397.8,8.3
20.54,7.896,7.231,1.15,0.1996,0.061,1.1599,148.894,41.082
22.4,7.54,8.306,3.68,0.2537,0.1186,2.655,366.9,132.4
21.11,7.22,5.841,2.794,0.1875,0.0746,2.831,400.4,7.9
20.5,7.949,7.369,1.1,0.0274,0.0676,1.3209,136.565,68.219
23.41,7.52,8.148,3.39,0.2404,0.1225,2.762,373.3,128.9
21.43,7.45,8.491,2.945,0.0647,0.062,2.677,403.8,8.6
21.24,8.089,7.453,1.1,0.0287,0.0704,1,147.992,73.926
23.54,7.52,8.013,3.27,0.2442,0.1218,2.666,385.2,122.4
22.58,7.73,10.01,2.794,0.0475,0.056,2.526,402.2,7.3
21.23,8.294,7.785,1.13,0.0952,0.0622,1.3326,132.818,53.695
22.49,7.56,8.382,3.31,0.4929,0.1213,2.752,380.4,117.2
21.73,7.72,9.021,2.945,0.0659,0.0544,2.58,402.2,7
20.66,8.351,7.884,1.3,0.2751,0.0562,1.3065,129.604,41.35
22.38,7.54,8.492,3.06,0.2663,0.1239,2.907,355.8,96.1
21.14,7.57,8.052,2.945,0.0659,0.0544,2.58,402.9,6.9
20.54,8.053,7.439,1.06,0.24,0.0549,1.4108,137.522,29.763
22.1,7.52,8.318,2.85,0.4876,0.1187,2.768,341.4,77.4
20.94,7.6,8.158,3.034,0.0714,0.0603,2.531,403.6,8
20.31,8.223,7.635,1.12,0.2324,0.0525,1.4134,128.107,33.269
22.3,7.51,7.748,3.6,0.4245,0.1154,2.773,350.1,113.8
21.02,7.5,7.4,2.731,0.1237,0.0597,2.71,404.4,7.5
23.19,7.5,7.488,3.55,0.4925,0.1207,2.843,358,139.7
21.78,7.42,7.353,2.794,0.0867,0.055,2.724,406.3,6.9
21.13,8.364,7.891,1.3,0.2307,0.0522,1.4381,129.506,37.144
23.69,7.51,7.681,3.54,0.4987,0.121,2.805,351.9,146
22.42,7.73,9.432,3.167,0.068,0.0585,2.396,408.9,7.7
21.24,8.431,7.829,1.25,0.2384,0.0518,1.3774,129.678,34.282
23.36,7.51,7.887,3.19,0.4892,0.1172,2.725,343.6,100.9
22.49,7.75,9.29,3.016,0.0672,0.0541,2.406,409.1,7
21.24,8.551,7.977,1.25,0.2054,0.0491,1.3364,127.127,30.525
23.19,7.52,7.941,2.88,0.451,0.1175,2.628,336.3,88.1
22.13,7.54,7.445,3.016,0.0672,0.0541,2.406,410.8,6.6
21.02,8.331,7.782,1.25,0.2054,0.0491,1.3364,154.315,20.382
23.1,7.54,8.021,2.98,0.4651,0.1193,2.516,323.8,127.9
21.93,7.49,7.183,2.856,0.1069,0.0572,2.377,408.7,6.1
20.74,8.161,7.508,1.19,0.1646,0.0496,1.4121,141.87,22.63
22.92,7.53,7.887,3.53,0.4488,0.12,2.479,320.5,122.3
21.83,7.44,6.782,2.989,0.1303,0.066,2.75,408.4,6.5
20.6,8.129,7.575,1.25,0.1692,0.0466,1.3698,127.91,25.454
23.02,7.58,8.38,3.6,0.4859,0.119,2.163,316.9,160.7
22.13,7.32,5.97,2.954,0.1121,0.068,2.5,391.9,9.5
20.81,8.187,7.789,1.39,0.1474,0.0443,1.3444,130.261,18.261
22.63,7.63,8.958,3.24,0.4638,0.1186,2.248,308.3,105.9
24.48,7.81,7.351,3.254,0.14,0.0766,1.741,292.4,12.2
22.28,7.36,6.424,3.283,0.1127,0.0673,2.391,394.7,7.4
20.8,8.284,7.87,1.3,0.1539,0.0449,1.3367,134.265,19.922
22.44,7.58,8.918,2.92,0.4928,0.1151,2.281,308.1,104.6
21.93,7.29,5.597,3.319,0.1255,0.062,2.446,394.7,7.8
20.58,8.384,8.085,1.27,0.1444,0.0414,1.3599,124.302,20.136
22.32,7.59,9.038,2.92,0.4928,0.1151,2.281,309.8,77.6
21.53,7.23,4.891,3.319,0.1255,0.062,2.446,395.8,8.1
20.56,8.132,7.731,1.27,0.1444,0.0414,1.3599,148.168,16.938
22.24,7.56,8.472,2.66,0.466,0.1131,2.163,311.2,89.8
21.24,7.19,4.348,3.256,0.1696,0.0674,2.491,398.7,7
22.28,7.57,8.422,3.3,0.4248,0.1115,2.141,311.3,116.7
21.04,7.19,4.462,2.767,0.18,0.0672,2.894,402.3,7
23.71,7.57,8.76,3.44,0.4818,0.1181,2.141,311.3,178.6
21.73,7.26,5.795,2.927,0.1296,0.0661,2.638,408.8,7.6
21.04,8.26,8.149,1.29,0.119,0.0385,1.336,123.073,18.86
23.59,7.59,8.624,3.39,0.254,0.1213,2.147,318.7,145.7
22.61,7.39,6.951,2.927,0.1186,0.0603,2.619,409.2,7.2
20.95,8.46,8.384,1.38,0.1342,0.0394,1.3042,122.026,13.491
22.95,7.6,8.896,3.06,0.2686,0.1151,2.056,305.4,104
22.57,7.42,7.152,2.838,0.1084,0.0573,2.365,410.5,6.8
20.71,8.55,8.343,1.25,0.1208,0.0371,1.2734,121.547,14.963
22.58,7.59,8.847,2.65,0.4936,0.1154,2.093,296.3,93.2
21.93,7.36,6.522,2.9,0.1138,0.0588,2.377,411.7,7.3
20.68,8.353,8.146,1.32,0.1186,0.0391,1.3496,148.2,17.664
22.34,7.57,8.458,2.57,0.4717,0.1117,2.024,297.8,82.2
21.53,7.3,5.488,2.883,0.1412,0.0616,2.414,412.7,7.1
20.56,8.273,7.986,1.33,0.1233,0.0395,1.3854,131.371,12.799
22.36,7.56,8.436,3.3,0.4329,0.109,2.013,297,91.3
21.43,7.26,5.3,2.714,0.1697,0.0673,2.75,412.4,7.5
20.54,8.262,7.995,1.46,0.1154,0.0372,1.3542,124.557,15.777
23.08,7.58,8.607,3.11,0.4695,0.1139,1.991,303.8,137.1
22.05,7.28,6.167,2.794,0.1466,0.0656,2.622,420,8.3
21.16,8.537,8.458,1.35,0.1376,0.0381,1.3152,124.96,20.154
22.97,7.6,8.613,3.03,0.493,0.117,2.066,301.1,111.1
22.83,7.38,7.056,3.096,0.1385,0.0638,2.461,421.1,7.3
21.06,8.677,8.596,1.3,0.1505,0.0386,1.2529,124.999,29.966
22.88,7.59,8.527,3.22,0.2711,0.1222,2.109,298.9,147.3
22.39,7.37,6.63,2.856,0.14,0.0612,2.25,420.3,7.2
21,8.659,8.549,1.3,0.1384,0.0348,1.2207,123.832,17.254
22.71,7.58,8.439,2.76,0.4612,0.1108,1.991,302.8,90.2
21.88,7.29,5.746,3.096,0.1522,0.0623,2.368,420.2,9.4
22.77,7.55,7.997,2.93,0.468,0.1123,2.002,308.5,134
21.73,7.31,5.84,3.034,0.1456,0.0616,2.584,420,8
24.29,7.78,6.776,3.691,0.26,0.0966,1.796,318.8,15
21.83,7.32,6.104,2.794,0.1443,0.0588,2.637,419.3,7.1
25.78,7.81,6.795,3.878,0.15,0.1033,1.769,319.3,13.7
22.33,7.27,6.21,2.82,0.127,0.0649,2.585,419,8
26.26,7.82,6.79,4.901,0.08,0.1119,1.753,319.2,14.6
24.12,7.64,9.434,3.247,0.0744,0.0676,2.359,412.3,8.6
22.3,8.872,8.851,1.6,0.1392,0.0404,1.2541,129.53,20.889
25.61,7.74,5.998,4.05,0.08,0.1001,1.78,315.8,14.8
24.07,7.62,8.868,3.319,0.0715,0.0682,2.26,412.5,8.2
21.95,8.909,9.012,1.44,0.1311,0.04,1.2508,128.397,24.057
25.31,7.69,5.095,4.37,0.1,0.1404,1.712,320,9.3
23.79,7.67,8.848,2.954,0.0664,0.0588,2.219,411.4,7.8
21.7,8.747,8.952,1.58,0.1611,0.0397,1.2514,142.933,27.607
25.07,7.68,4.872,4.077,0.1,0.0977,1.767,320.8,11
23.34,7.38,6.098,2.856,0.1071,0.0607,2.206,412.1,7.1
21.47,8.6,8.409,1.33,0.1369,0.0389,1.2407,139.531,21.498
25.25,7.71,5.288,3.718,0.08,0.0188,1.657,314.3,10.7
23.16,7.53,7.855,3.167,0.096,0.0751,2.663,410.6,7.6
21.75,8.846,9.009,1.45,0.142,0.0369,1.2532,128.949,22.435
23.97,7.64,10.172,3.54,0.4827,0.1167,2.077,310.6,157.4
26.09,7.77,6.182,3.878,0.1,0.0952,1.581,310.8,10.6
23.26,7.33,6.596,3.167,0.1277,0.0644,2.392,415.3,8.6
22.37,8.888,9.103,1.51,0.1417,0.0356,1.1535,131.381,19.614
24.49,7.61,10.282,4.09,0.2706,0.1331,2.259,306.7,193.3
26.72,7.8,6.07,3.956,0.08,0.0963,1.571,307,11.5
24.07,7.51,8.547,3.078,0.0972,0.0596,2.332,414,7.8
22.64,9.067,9.214,1.65,0.1252,0.0354,1.1958,129.359,18.7
24.06,7.61,10.499,3.99,0.2873,0.1304,2.173,300.7,163.1
26.16,7.8,6.084,3.873,0.11,0.0912,1.624,307.6,11.7
23.87,7.51,8.324,3.167,0.0882,0.0619,2.299,414.1,11.9
22.3,9.007,9.02,1.51,0.1166,0.0353,1.2159,128.003,16.444
23.85,7.58,10.449,3.11,0.2594,0.1244,2.264,296.6,122.6
25.76,7.79,5.887,4.077,0.16,0.1072,1.561,306.5,16.6
23.41,7.51,7.841,3.23,0.0782,0.0569,2.393,412.4,9.6
22.31,8.92,8.816,1.56,0.121,0.0366,1.2107,147.471,15.069
23.76,7.55,11.664,2.9,0.2646,0.1177,2.093,295.7,107.5
25.37,7.76,5.682,3.696,0.22,0.0878,1.561,304.5,7.7
23.1,7.53,7.939,3.185,0.0665,0.0584,2.26,409.2,8.3
22.15,9.012,9.046,1.54,0.13,0.0346,1.2056,129.872,14.511
24.05,7.56,11.798,3.39,0.4755,0.118,2.163,297.3,155
23.26,7.59,8.452,3.016,0.0567,0.0617,2.573,409.5,8.2
22.48,8.975,8.81,1.56,0.1308,0.0349,1.1773,131.725,15.968
24.87,7.57,10.304,3.53,0.2435,0.1217,2.131,297.1,155.4
27.25,7.8,5.827,3.834,0.13,0.0947,1.484,301.8,9.5
23.88,7.4,7.094,3.105,0.0949,0.0588,2.424,413.6,8.5
23.6,8.998,8.883,1.41,0.025,0.032,1.0997,132.039,15.268
25.62,7.58,10.296,4.07,0.2963,0.134,2.179,292.5,256.6
28.6,7.8,5.642,4.199,0.17,0.1007,1.501,301.2,9.8
24.91,7.43,8.764,3.746,0.0657,0.0888,2.961,413.5,14
23.24,8.94,8.768,1.33,0.2916,0.0414,1.0629,130.104,71.305
25.14,7.59,11.634,3.98,0.2678,0.1348,2.463,297.3,210.3
27.92,7.7,4.962,4.315,0.18,0.1007,1.487,300.3,14.2
24.79,7.57,8.809,3.176,0.066,0.0634,2.889,410.6,8.9
23.34,9.011,8.65,1.24,0.1413,0.0331,1.1159,133.765,11.8
25.04,7.53,11.566,3.98,0.2678,0.1348,2.463,291.7,120.2
26.61,7.73,5.337,4.315,0.18,0.1007,1.487,301.2,10.7
24.25,7.52,7.915,3.176,0.066,0.0634,2.889,410.9,8.6
23.05,8.717,8.207,1.24,0.1413,0.0331,1.1159,189.798,12.479
24.54,7.54,10.243,3.04,0.257,0.1215,2.323,290.8,127.7
23.75,7.49,7.431,2.972,0.0784,0.0588,2.301,410,8.5
22.71,8.907,8.419,1.4,0.1277,0.031,1.2175,136.242,17.426
24.99,7.55,10.274,3.92,0.4784,0.1213,2.206,301.7,154
23.79,7.4,6.926,2.669,0.1113,0.0578,2.476,410.8,8.8
23.3,8.853,8.316,1.47,0.1334,0.0305,1.1727,138.555,16.824
25.45,7.55,10.309,3.45,0.2648,0.1215,2.163,293.3,142.8
28.38,7.69,4.959,4.829,0.13,0.0883,3.789,296.4,9.8
24.74,7.35,6.683,2.776,0.1033,0.0606,2.406,414.7,8.8
24.18,8.961,8.605,1.33,0.1153,0.0319,1.1717,136.43,16.761
26.17,7.56,10.172,3.44,0.2598,0.1235,2.216,284.8,183.9
28.42,7.78,6.373,3.972,0.14,0.0963,1.417,299.9,8.7
25.86,7.47,8.037,2.891,0.0924,0.0603,2.243,413.2,9
24.1,9.036,8.435,1.33,0.1726,0.0318,1.1031,132.874,21.715
25.73,7.58,10.361,3.15,0.2768,0.1165,2.259,281.2,112.4
28.19,7.75,5.72,3.79,0.16,0.1089,1.437,302,20
25.22,7.36,6.73,2.891,0.0951,0.0548,2.367,413.7,7.2
24.07,8.975,8.444,1.22,0.156,0.0304,1.1192,135.184,14.42
25.61,7.56,10.194,3.15,0.2768,0.1165,2.259,292,113
27.41,7.73,4.722,3.79,0.16,0.1089,1.437,300.6,13.9
25.2,7.42,7.706,2.891,0.0951,0.0548,2.367,416.6,7.3
24.05,8.855,7.967,1.22,0.156,0.0304,1.1192,139.611,12.845
25.25,7.61,10.318,3.31,0.2685,0.1149,2.034,290.7,191.9
26.94,7.71,4.711,4.193,0.2,0.0871,1.405,294.8,7.3
25.01,7.36,6.48,2.838,0.1,0.0576,2.24,417.4,8.5
23.86,8.713,7.675,1.14,0.1245,0.0345,1.1596,145.595,16.215
25.21,7.6,10.339,3.66,0.2438,0.1148,1.927,282.8,148.5
26.95,7.72,4.939,3.928,0.14,0.0864,1.396,294.5,7.5
24.72,7.29,5.99,2.669,0.0992,0.0588,2.461,418.9,7.8
23.86,8.838,7.893,1.34,0.1232,0.0296,1.1672,133.044,18.451
25.35,7.58,10.346,2.97,0.2805,0.1116,2.141,285.7,129.7
26.92,7.74,5.223,3.901,0.15,0.0957,1.38,293.1,14.8
23.81,7.28,5.592,2.847,0.1368,0.06,2.385,414.3,10.6
24.03,8.806,8.345,1.21,0.1346,0.0311,1.1777,135.463,19.691
25.67,7.57,10.308,2.05,0.2728,0.1091,2.013,288.7,137.2
27.18,7.73,4.913,4.989,0.15,0.1057,1.42,292.6,10.3
24.25,7.43,7.056,3.247,0.0932,0.0699,2.206,407.8,9.1
24.05,8.84,8.304,1.14,0.1586,0.0319,1.0496,138.678,19.735
25.29,7.54,10.321,1.62,0.268,0.1031,2.024,287.7,105.9
26.88,7.73,4.928,3.829,0.19,0.0973,1.432,295,14.3
24.16,7.4,6.148,2.998,0.1357,0.059,2.198,407.7,10.5
23.96,8.775,8.028,1.07,0.2321,0.0352,1.0513,137.922,39.3
25.08,7.54,10.287,2.41,0.2548,0.1108,2.034,282.7,87.9
26.7,7.73,4.857,3.486,0.23,0.0944,1.395,292.5,10.8
23.98,7.33,5.498,3.034,0.1401,0.0549,2.122,411.1,7.9
23.94,8.588,7.637,1.03,0.2337,0.0368,1.0684,136.135,41.995
25.13,7.49,11.514,2.72,0.4556,0.1096,1.991,280.5,112.8
26.59,7.75,5.097,3.729,0.23,0.0929,1.388,287.3,10.6
23.81,7.29,5.006,3.016,0.1625,0.0587,2.089,412.1,8.1
23.85,8.465,7.393,1.01,0.1868,0.0356,1.0895,135.712,31.433
25.05,7.49,10.08,2.79,0.4313,0.104,1.863,278.9,101.6
26.51,7.74,5.066,3.575,0.21,0.0979,1.341,285.1,10.2
23.79,7.27,4.92,2.838,0.181,0.0677,2.599,414.1,7.3
23.78,8.46,7.614,1.19,0.1673,0.0328,1.068,134.84,30.011
25.13,7.51,10.111,3.03,0.4907,0.1097,1.863,290.5,128.9
26.85,7.78,5.221,3.729,0.2,0.1056,1.306,284,16.4
23.52,7.22,4.431,2.705,0.2018,0.0649,2.252,417.3,8.9
24.03,8.414,7.409,1.2,0.2017,0.0363,1.0869,136.413,39.716
25.18,7.53,10.258,3.05,0.2427,0.1128,1.922,290.6,142.7
26.86,7.79,5.228,3.773,0.2,0.0914,1.223,278,10.4
23.26,7.31,5.151,2.714,0.1827,0.0604,2.26,399.7,10.9
24.04,8.313,7.1,1.04,0.2728,0.0412,0.9847,138.054,47.7
24.96,7.53,10.296,3.14,0.2744,0.1109,1.916,295.2,110.7
26.91,7.85,5.398,4.282,0.21,0.0886,1.15,268.9,13
23.16,7.31,4.942,2.794,0.1689,0.0611,2.271,397.7,11.2
23.88,8.237,6.944,1.03,0.2641,0.0381,1.0702,140.097,43.66
24.82,7.52,10.368,2.72,0.4872,0.1096,1.927,297.8,86.1
26.79,7.81,5.166,4.116,0.23,0.0841,1.146,270,9.5
23.06,7.28,4.556,2.945,0.1772,0.0614,2.151,398.2,9.8
23.74,8.164,6.971,0.87,0.2496,0.0397,1.0738,140.167,40.612
24.66,7.53,10.554,2.62,0.4919,0.1065,2.056,305.6,104.7
26.48,7.79,4.77,3.884,0.23,0.0838,1.221,271.9,11.1
22.85,7.24,3.984,2.945,0.1934,0.062,2.297,397.4,9.8
23.52,8.15,6.938,1.01,0.2488,0.0424,1.034,142.119,43.31
24.71,7.49,10.269,1.91,0.4133,0.0973,2.066,318.1,129.2
26.5,7.78,4.717,3.685,0.2,0.1077,1.142,273,11.9
22.68,7.21,3.617,2.482,0.2112,0.063,2.456,398,9
23.34,7.996,6.958,1.12,0.2343,0.0398,1.0235,145.468,48.422
24.95,7.48,11.458,2.78,0.423,0.103,2.131,313.6,113.8
26.71,7.77,4.788,3.779,0.24,0.0866,1.174,275.4,11.8
22.54,7.18,3.753,2.794,0.2298,0.0648,2.437,378.7,9.9
23.53,7.939,6.804,1.02,0.2211,0.0387,1.1643,148.254,32.21
24.96,7.49,10.2,3.13,0.497,0.1115,2.077,316,140.8
26.76,7.72,4.319,3.928,0.24,0.1007,1.208,279.6,12.9
22.74,7.37,5.721,2.464,0.1079,0.0559,2.107,370.1,10.7
23.75,7.937,6.799,1.14,0.263,0.0465,1.0235,151.543,52.399
24.79,7.51,10.439,3.29,0.2506,0.1124,2.098,320.2,135.6
26.31,7.66,3.578,4.111,0.28,0.1097,1.198,287.7,25.7
22.64,7.33,4.988,2.553,0.1241,0.0593,2.009,371.3,9.7
23.41,7.856,6.675,0.99,0.2895,0.0443,1.0841,157.133,50.008
24.74,7.52,11.687,2.93,0.2303,0.1129,2.227,315.7,96.1
26.1,7.6,2.866,3.906,0.32,0.0999,1.314,300.6,10.3
22.43,7.29,4.714,2.625,0.1887,0.0682,2.09,367.9,15.1
23.18,7.803,6.61,0.9,0.2788,0.045,1.1418,162.508,44.799
24.62,7.51,10.254,2.74,0.2452,0.1132,2.109,311.5,124.4
26.09,7.59,2.826,3.801,0.32,0.0999,1.337,306.3,11.7
22.33,7.24,3.803,2.945,0.3138,0.0867,2.302,355.4,25.1
23.08,7.744,6.467,1.13,0.2323,0.0422,1.2111,158.653,30.646
24.87,7.51,11.6,3.4,0.4996,0.1179,1.975,321.1,165.8
26.24,7.61,2.836,4.138,0.27,0.1149,1.318,311,14.7
22.28,7.2,3.472,2.945,0.3339,0.0875,2.652,350.4,19.4
23,7.71,6.491,1.26,0.2334,0.043,1.237,165.669,41.412
25.23,7.52,10.21,3.9,0.2698,0.1276,2.227,345.7,214.6
26.78,7.64,3.13,4.182,0.23,0.1051,1.306,316,13.1
22.72,7.25,4.722,2.82,0.2002,0.076,2.453,375.3,19
23.35,7.721,6.573,1.14,0.2373,0.0437,1.2346,172.888,43.607
26.03,7.52,10.172,5.51,0.2544,0.1341,2.345,366.5,245.7
27.82,7.64,3.039,4.111,0.41,0.0968,1.336,328.7,13.5
23.52,7.4,5.688,2.82,0.144,0.0694,2.284,374.7,19.3
23.98,7.765,6.45,1.22,0.2861,0.0465,1.2247,197.205,45.187
25.94,7.51,9.924,3.98,0.2911,0.1307,2.222,389.3,199.6
27.55,7.62,2.49,4.497,0.31,0.0982,1.466,348.7,10.2
23.16,7.36,4.694,2.972,0.175,0.0709,2.15,356.8,19.8
23.96,7.706,6.311,0.99,0.2725,0.0449,1.2775,209.345,38.487
25.71,7.54,10.109,2.32,0.2702,0.1284,2.281,372.7,157.5
26.94,7.66,3.338,4.326,0.3,0.1017,1.546,343.5,11.3
23.26,7.52,5.962,2.891,0.1151,0.0658,2.028,330,20.9
23.78,7.698,6.207,1.06,0.0787,0.0516,1.2328,211.512,73.515
25.68,7.55,10.174,2.03,0.2993,0.1244,2.12,326.4,133.6
25.88,7.5,2.977,4.564,0.3,0.1254,1.549,339.7,30.1
23.16,7.45,5.476,2.883,0.1083,0.0582,2.041,333.6,14.4
23.51,7.676,6.31,1.15,0.0708,0.0541,1.3154,201.014,48.905
25.82,7.52,10.271,3.35,0.2454,0.1258,2.077,352.1,178.4
26.91,7.68,4.224,4.459,0.11,0.1288,1.634,349.5,30.1
23.16,7.37,4.729,2.464,0.1454,0.0644,2.616,339.6,14.2
23.69,7.676,6.437,1.29,0.2366,0.0478,1.3318,198.018,30.784
26.39,7.53,10.036,2.02,0.2556,0.1284,2.109,366,183.7
27.19,7.63,3.52,4.149,0.26,0.1114,1.62,347,17.1
24.07,7.61,6.544,2.776,0.0634,0.0675,2.784,356.6,15.9
24.04,7.67,6.236,1.3,0.2357,0.0469,1.3854,210.722,33.181
26.83,7.49,9.671,3.28,0.2692,0.1261,2.206,371.7,167.2
28.14,7.65,4.156,4.431,0.26,0.0939,1.687,337.9,12
24.35,7.62,5.941,3.061,0.1249,0.0696,2.059,353.4,19.3
24.74,7.677,6.092,1.24,0.2905,0.0519,1.3268,224.137,38.05
26.53,7.52,9.852,3.29,0.2979,0.1281,2.131,351.9,157
27.83,7.71,4.473,3.862,0.24,0.0878,1.828,349.4,10.9
23.88,7.65,6.965,2.36,0.1032,0.0706,2.711,352.3,16.1
24.38,7.614,5.941,1.32,0.2909,0.0526,1.3841,232.358,41.827
26.45,7.52,9.839,1.89,0.2716,0.1168,2.104,332.3,147
27.44,7.61,3.648,3.779,0.08,0.1092,1.803,341.1,13.5
23.98,7.79,6.565,2.388,0.1057,0.059,2.226,348.3,16.1
24.15,7.601,5.953,1.18,0.2785,0.0514,1.4852,227.104,37.639
26.33,7.52,9.905,1.89,0.2615,0.1224,4.315,330.5,176
26.32,7.51,2.824,3.867,0.37,0.0898,1.745,317,11.3
23.88,7.85,6.247,2.452,0.1055,0.0617,1.95,348.7,13.1
24.05,7.607,5.72,1.33,0.294,0.0569,1.4779,216.006,53.41
26.51,7.59,3.665,4.193,0.27,0.1306,1.933,326.2,13.7
23.26,7.72,6.082,2.608,0.1156,0.0716,2.16,340.8,18.5
24.01,7.587,5.743,1.34,0.096,0.0548,1.505,210.282,45.354
26.95,7.64,3.834,4.017,0.21,0.1201,2.052,336.7,15.9
23.71,7.78,6.416,2.25,0.025,0.0682,2.285,347.5,14.3
24.14,7.688,5.986,1.32,0.1323,0.0524,1.5348,212.803,33.702
26.41,7.51,9.113,3.48,0.2662,0.1415,2.045,396.9,169.6
26.35,7.68,4.371,4,0.15,0.1018,2.047,329.2,14.8
23.98,7.87,6.632,2.185,0.103,0.0592,2.531,344.7,15.6
24.19,7.708,5.784,1.27,0.0861,0.0588,1.5154,214.786,57.482
26.38,7.53,10.939,3.22,0.2948,0.141,2.575,396.8,159.3
25.83,7.69,4.603,4.309,0.23,0.1343,2.05,324.8,26.7
23.79,7.95,6.788,2.25,0.1115,0.0595,2.109,345.3,14.3
24.04,7.609,5.661,1.26,0.2982,0.0547,1.5914,226.645,34.322
25.66,7.55,9.955,0.89,0.4613,0.0985,1.622,366.7,125.7
25.24,7.68,4.604,4.939,0.22,0.1891,1.851,299.2,36.9
23.26,7.9,6.511,2.204,0.1217,0.0592,1.896,342.9,13.3
23.93,7.532,5.615,1.31,0.198,0.0576,1.588,238.272,29.935
25.46,7.54,9.96,0.34,0.2443,0.0665,1.296,353.8,161.8
23.78,7.64,4.336,4.961,0.25,0.1885,2.039,278.4,38.6
22.63,7.71,5.882,2.47,0.1222,0.0586,1.93,350.8,13.7
23.8,7.485,5.208,1.44,0.3604,0.066,1.6841,255.481,41.474
25.1,7.53,10.015,0.54,0.1734,0.0539,1.579,370.3,204.3
24.23,7.65,5.378,5.635,0.13,0.2281,2.174,272.6,46.1
21.83,7.54,5.611,2.112,0.132,0.0626,2.145,347.5,17.1
23.66,7.499,5.217,1.67,0.3976,0.0643,1.8169,255.797,24.9
25.41,7.51,9.848,0.44,0.143,0.0489,1.499,355.5,138.9
24.12,7.61,4.93,5.768,0.12,0.245,2.508,266.6,53.7
21.63,7.48,5.277,2.112,0.132,0.0626,2.145,349.2,21.8
23.74,7.49,5.052,1.81,0.4776,0.074,1.8415,247.44,37.17
25.66,7.5,11.108,0.4,0.122,0.0488,1.451,367.2,116.6
24.03,7.57,5.402,6.006,0.15,0.2354,2.913,258.4,53.5
21.83,7.44,5.063,2.176,0.1688,0.0654,3.141,351.3,21.7
24.04,7.481,4.894,1.72,0.582,0.08,1.9927,254.037,36.43
25.36,7.49,9.842,1.08,0.1034,0.0471,1.349,368,121
23.57,7.57,5.274,5.641,0.17,0.2334,2.902,264.6,52.5
21.93,7.48,6.768,4.132,0.2,0.1657,3.047,346.1,234.7
23.96,7.494,4.805,1.67,0.5655,0.0825,2.0089,250.982,41.751
25.37,7.55,9.655,1.08,0.1034,0.0471,1.349,373.7,124.2
23.02,7.57,5.607,5.641,0.17,0.2334,2.902,261.8,51.4
21.83,7.54,7.389,4.132,0.2,0.1657,3.047,347,52.3
23.89,7.511,5.051,1.67,0.5655,0.0825,2.0089,235.099,46.067
25.21,7.52,9.431,5.12,0.2438,0.115,1.552,364.5,124.9
22.25,7.56,5.21,5.497,0.19,0.2257,2.926,270.7,51.6
21.73,7.53,7.465,2.562,0.1433,0.0775,2.725,344.5,37.8
23.73,7.479,5.057,1.54,0.3495,0.0824,2.0059,225.895,34.862
25.06,7.51,9.227,3.89,0.401,0.13,2.655,363.7,113.6
