监测时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮
2024/1/3 16:00,5.8,7.98,12.4,887.4,8.2,5.5,0.158,0.167,2.43
2024/1/3 20:00,8.5,8.53,16.67,829.5,31.4,5.5,0.201,0.115,4.81
2024/1/3 20:00,7.4,7.93,12.94,613.9,65.1,5.5,0.226,0.058,5.44
2024/1/4 0:00,8.3,8.48,15.95,830.4,31.6,5.5,0.201,0.115,4.81
2024/1/4 0:00,6.8,7.85,11.84,620.6,64.4,5.5,0.226,0.058,5.44
2024/1/1 12:00,7.1,7.92,10.92,933.3,13.8,5.5,1.128,0.161,5.48
2024/1/1 12:00,7.6,8.44,12.97,517.6,11.4,5.5,0.849,0.147,3.28
,9.2,7.42,10.32,593.4,27.4,5.5,0.699,0.204,4.29
2024/1/2 16:00,6.4,8.46,15.74,2033,59.1,5.49,0.034,0.085,3.1
2024/1/2 16:00,8.2,8.86,17.42,417,79.1,5.49,0.025,0.048,2.58
2024/1/3 20:00,6.4,8.92,14.7,1886.4,7.6,5.49,0.05,0.059,3.39
2024/1/4 0:00,6.1,8.94,14.6,1880.2,7.2,5.49,0.05,0.059,3.39
2024/1/4 4:00,12.1,7.78,7.04,2138.8,8.6,5.49,0.161,0.035,1.63
2024/1/4 8:00,2.6,8.57,12.58,1433.7,19.8,5.49,0.763,0.108,9.5
2024/1/1 20:00,8.8,8.91,18.67,4363.1,14.8,5.49,0.025,0.156,3.19
2024/1/1 20:00,9.8,8.18,8.38,466.2,19,5.49,0.445,0.046,1.77
2024/1/2 0:00,8.6,8.89,17.94,4111.2,8.5,5.49,0.025,0.156,3.19
2024/1/2 0:00,9.7,8.13,8.16,466.5,17.3,5.49,0.47,0.042,1.7
,5.4,8.36,13.2,586.4,65.3,5.49,0.105,0.088,6.02
2024/1/2 12:00,6.2,8.6,27.58,1102.4,6.2,5.48,0.258,0.056,4.52
2024/1/2 12:00,3,8.64,15.03,1139.6,1.4,5.48,0.025,0.042,12.52
2024/1/2 20:00,5.9,8.28,12.74,302.6,229.2,5.48,0.025,0.114,0.4
2024/1/2 20:00,17.9,8.2,9.38,212.2,25.5,5.48,0.044,0.095,2.11
2024/1/3 0:00,5.8,8.28,12.73,302.6,185.2,5.48,0.025,0.114,0.4
2024/1/3 0:00,17.7,7.95,8.59,202.4,32,5.48,0.044,0.095,2.11
2024/1/3 12:00,6.4,8.29,12.31,2080.3,38.7,5.48,0.028,0.079,3.19
2024/1/1 12:00,5.8,8.45,16.19,1804.6,54.6,5.48,0.036,0.085,3.16
2024/1/1 12:00,10.4,8.17,8.44,461,10.3,5.48,0.412,0.058,1.42
2024/1/1 16:00,5.6,8.04,12.16,1273.8,23.2,5.48,0.146,0.15,2.8
2024/1/1 20:00,18.2,8.06,8.63,214.4,38.5,5.48,0.08,0.098,2.54
2024/1/2 0:00,18.1,8.15,9.07,216,27.2,5.48,0.08,0.098,2.54
2024/1/2 12:00,6.5,7.77,11.95,1967.9,16.9,5.47,0.388,0.144,11.46
2024/1/3 20:00,6.7,8.15,10.85,862.2,4.3,5.47,0.045,0.038,0.82
2024/1/4 0:00,6.7,8.13,10.72,864.2,4.5,5.47,0.045,0.038,0.82
2024/1/4 4:00,2.7,8.32,18.8,1843.6,31.2,5.47,0.025,0.236,2.29
2024/1/4 8:00,4.5,8.04,15.6,1929,2.9,5.47,0.058,0.07,12.6
2024/1/1 20:00,5.1,8.4,14.95,2240.8,9.2,5.47,0.247,0.181,3.38
2024/1/1 20:00,5.1,8.4,14.95,2240.8,9.2,5.47,0.247,0.181,3.38
2024/1/2 8:00,2.7,8.57,12.27,1504.1,21.6,5.47,0.676,0.11,9.34
2024/1/2 16:00,5.9,8.27,12.78,302.5,219.3,5.46,0.025,0.089,0.37
2024/1/3 16:00,11,7.38,8.61,709.2,21,5.46,1.031,0.088,6.85
2024/1/3 16:00,6,8.76,17.25,866,26,5.46,0.292,0.158,6.23
2024/1/4 8:00,7.5,8.24,10.98,2651.9,14.1,5.46,0.21,0.13,3.75
2024/1/1 8:00,2.8,8.08,15.16,1760.8,30.2,5.46,0.107,0.275,2.27
2024/1/1 12:00,12.2,7.88,7.96,2116.2,8.6,5.46,0.118,0.032,1.47
2024/1/1 16:00,4.6,8.11,12.8,759.1,12.3,5.46,0.911,0.151,4.45
2024/1/1 16:00,6.1,8.94,14.15,840.4,13.8,5.46,0.037,0.054,1.64
2024/1/2 8:00,9.2,7.62,8.94,859.4,8.4,5.46,0.27,0.094,5.01
2024/1/2 12:00,6.6,8.14,9.89,861.2,4,5.45,0.046,0.033,0.78
2024/1/2 20:00,10.6,8.23,11.47,1688.3,7.9,5.45,0.134,0.08,3.8
2024/1/3 0:00,10.5,8.2,11.4,1691.3,9.4,5.45,0.134,0.08,3.8
2024/1/3 4:00,6.4,8.11,9.57,861.5,4.1,5.45,0.053,0.032,0.8
2024/1/3 8:00,6.3,8.11,9.68,863,4.4,5.45,0.053,0.032,0.8
2024/1/1 4:00,4.6,8.25,12.46,1114.6,50.5,5.45,0.345,0.384,8.65
2024/1/4 4:00,4.8,8.02,15.15,1940.9,3.6,5.45,0.08,0.071,12.42
2024/1/4 8:00,6.4,8.13,10.06,866.9,4.8,5.45,0.04,0.044,0.85
2024/1/1 12:00,8.8,8.92,19.03,4287.5,11,5.45,0.025,0.128,2.97
2024/1/1 16:00,5.4,8.33,10,1590.1,3.7,5.45,0.04,0.04,1.69
2024/1/2 16:00,6.6,8.14,12.15,284,103.7,5.44,0.025,0.075,1.15
2024/1/2 16:00,8.5,8.19,10.18,1103.2,47.5,5.44,0.526,0.122,7.89
2024/6/14 12:00,29.4,6.68,7.41,110.9,51.1,5.44,0.29,0.079,2.12
2024/1/3 4:00,7.7,6.79,11.94,290.8,7.9,5.44,0.299,0.062,3.72
2024/6/14 12:00,29.4,6.68,7.41,110.9,51.1,5.44,0.29,0.079,2.12
2024/1/3 4:00,7.7,6.79,11.94,290.8,7.9,5.44,0.299,0.062,3.72
2024/1/3 16:00,5,8.56,20,775.1,4.7,5.44,0.424,0.137,4.05
2024/1/3 16:00,12.4,7.82,7.43,2116.8,9,5.44,0.141,0.032,1.56
2024/6/14 12:00,29.4,6.68,7.41,110.9,51.1,5.44,0.29,0.079,2.12
2024/6/14 12:00,29.4,6.68,7.41,110.9,51.1,5.44,0.29,0.079,2.12
2024/6/14 12:00,29.4,6.68,7.41,110.9,51.1,5.44,0.29,0.079,2.12
2024/1/4 4:00,6.2,8.35,12.45,959.2,18.6,5.44,0.204,0.082,4.87
2024/1/4 8:00,0.6,8.3,14.54,47647.6,15.9,5.44,1.136,0.086,1.88
2024/1/4 8:00,18.5,7.44,6.54,20937.3,39.3,5.44,1.072,0.206,5.07
2024/1/1 4:00,6.5,8.02,10.01,594.9,184.9,5.44,0.815,0.122,4.77
2024/6/14 12:00,29.4,6.68,7.41,110.9,51.1,5.44,0.29,0.079,2.12
,12,7.87,7.87,2084.5,7,5.44,0.109,0.032,1.49
,29.4,6.68,7.41,110.9,51.1,5.44,0.29,0.079,2.12
2024/1/2 16:00,7.8,7.82,14.4,1963.6,18,5.43,0.355,0.14,11.42
2024/1/2 16:00,6.1,8.45,14.65,1184.6,9,5.43,0.054,0.075,3.81
2024/1/3 12:00,2.8,8.61,12.86,1395.5,23.9,5.43,0.654,0.124,8.85
2024/1/1 4:00,11.9,7.87,7.78,2098.8,9.4,5.43,0.129,0.034,1.67
2024/1/4 4:00,8.3,8.45,15.64,830.6,33.2,5.43,0.208,0.112,4.33
2024/1/1 12:00,8.8,7.87,11.36,656.9,3.6,5.43,0.14,0.091,0.89
2024/1/2 8:00,5.8,7.41,12.72,1550.6,1.9,5.43,0.132,0.043,6.86
2024/1/2 8:00,12,7.88,8.02,2111.3,7.7,5.43,0.111,0.032,1.51
2024/1/3 4:00,5.9,8.4,14.52,1215.8,6.8,5.42,0.047,0.074,3.81
2024/1/3 8:00,5.8,8.4,14.5,1223.8,9.3,5.42,0.047,0.074,3.81
2024/1/3 12:00,7.8,7.94,10.7,598.1,228,5.42,0.474,0.107,4.72
2024/1/3 12:00,5.6,8.3,13.28,2505.3,22.5,5.42,0.253,0.174,3.23
2024/1/3 12:00,5.6,8.33,9.9,1581.3,3.6,5.42,0.035,0.038,1.66
2024/1/3 20:00,5.4,7.94,12.11,889.8,7.2,5.42,0.162,0.164,2.41
2024/1/3 20:00,10.1,8.2,13.99,614.3,3.2,5.42,0.025,0.039,0.79
2024/1/3 20:00,5.4,7.94,12.11,889.8,7.2,5.42,0.162,0.164,2.41
2024/1/4 0:00,10,8.22,13.87,614.8,4,5.42,0.025,0.039,0.79
2024/1/1 4:00,5.5,8.9,13.77,844.5,15.7,5.42,0.037,0.058,1.7
2024/1/4 8:00,5.7,8.64,14.15,542.4,15.7,5.42,0.025,0.053,3.25
2024/1/1 8:00,7.4,6.9,12.99,285.8,8,5.42,0.285,0.062,3.66
2024/1/1 12:00,7.7,6.89,12.95,284.8,7.7,5.42,0.286,0.065,3.4
2024/1/1 20:00,12.1,7.87,8.04,2084.4,8.5,5.42,0.102,0.033,1.51
2024/1/1 20:00,12.1,7.87,8.04,2084.4,8.5,5.42,0.102,0.033,1.51
,2.7,8.6,17.8,2983,19.5,5.42,0.073,0.052,5.07
2024/1/2 8:00,18.1,7.85,7.79,19421.2,18.2,5.42,0.462,0.179,1.86
2024/1/2 12:00,9.3,7.8,10.56,627,2.1,5.41,0.032,0.033,1.13
2024/1/3 4:00,9.7,8.1,8.04,467.2,16.4,5.41,0.522,0.046,1.75
2024/1/3 8:00,9.6,8.08,7.95,467.3,16.1,5.41,0.533,0.042,1.76
2024/1/3 12:00,9.3,7.06,10.55,244.8,10.5,5.41,0.025,0.035,0.66
2024/1/3 12:00,12.3,7.84,7.64,2115.6,8.6,5.41,0.131,0.033,1.58
2024/1/3 12:00,10.7,8.86,11.16,444.4,15,5.41,0.108,0.056,5.25
2024/1/3 16:00,2.9,8.31,18.32,1849.1,34.2,5.41,0.028,0.235,2.37
2024/1/3 20:00,8,7.88,14.72,855,14.5,5.41,0.025,0.054,1.64
2024/1/3 20:00,8,7.88,14.72,855,14.5,5.41,0.025,0.054,1.64
2024/1/1 4:00,7.4,6.94,13.08,285.9,7.4,5.41,0.288,0.06,3.55
2024/1/1 8:00,5.4,8.9,13.7,845.5,15.8,5.41,0.038,0.057,1.66
2024/1/1 16:00,8.1,6.95,13.51,282.6,7.3,5.41,0.282,0.064,3.64
2024/1/2 8:00,17,7.71,8.43,16705.4,18.8,5.41,0.24,0.108,6.58
2024/1/2 16:00,6.4,7.44,12.78,1654.6,2.5,5.4,0.079,0.072,6.7
2024/1/2 16:00,18.3,7.72,8.57,19701.8,20.7,5.4,0.223,0.121,6.17
2024/1/2 20:00,5.4,8.33,9.94,1590.7,3.6,5.4,0.036,0.038,1.68
2024/1/2 20:00,5.4,8.33,9.94,1590.7,3.6,5.4,0.036,0.038,1.68
2024/1/3 4:00,5.4,8.31,9.62,1594.2,3.7,5.4,0.038,0.039,0.87
2024/1/3 4:00,5.4,8.31,9.62,1594.2,3.7,5.4,0.038,0.039,0.87
2024/1/3 20:00,8.3,6.81,11.99,299,7,5.4,0.318,0.058,3.78
2024/1/3 20:00,8.3,6.81,11.99,299,7,5.4,0.318,0.058,3.78
2024/1/4 8:00,5.6,8.53,13.9,1620.3,17,5.4,0.34,0.044,1.71
2024/1/1 20:00,2.9,8.6,17.69,2919.9,18.1,5.4,0.068,0.053,4.8
2024/1/1 20:00,2.9,8.6,17.69,2919.9,18.1,5.4,0.068,0.053,4.8
2024/1/2 12:00,1.4,8.24,12.33,1504,114,5.39,1.306,0.157,8.53
2024/1/2 16:00,1.4,8.24,12.2,1467.1,401.8,5.39,1.22,0.157,7.69
2024/1/2 20:00,5.8,8.03,11.54,1282.4,27.4,5.39,0.083,0.141,2.9
2024/1/2 20:00,5.8,8.03,11.54,1282.4,27.4,5.39,0.083,0.141,2.9
2024/1/3 4:00,6.3,8.33,8.45,924.4,230.2,5.39,0.488,0.224,3.29
2024/1/3 4:00,6.3,8.33,8.45,924.4,230.2,5.39,0.488,0.224,3.29
2024/1/3 12:00,7.2,8.65,16.91,701.8,53.8,5.39,0.212,0.134,2.74
2024/1/3 12:00,6.1,8.26,12.68,300,195,5.39,0.025,0.102,0.4
2024/1/3 16:00,18.9,8.01,9.22,24000.3,6.3,5.39,0.152,0.127,6.25
2024/1/4 4:00,6.5,8.38,8.91,906.5,232.8,5.39,0.46,0.207,3.27
2024/1/4 4:00,19.1,7.32,6.82,11750,14.1,5.39,0.786,0.158,6.44
2024/1/4 8:00,1.3,8.19,11.49,1627.6,5.4,5.39,1.347,0.166,11.46
2024/1/1 8:00,5.5,8.55,14.05,543,21.5,5.39,0.025,0.063,3.58
2024/1/1 8:00,5,7.92,12.34,1016,3.6,5.39,0.076,0.026,1.07
2024/1/1 20:00,6,8.93,14.06,840.5,13.5,5.39,0.038,0.054,1.62
2024/1/2 0:00,5.9,8.91,13.86,842.6,15,5.39,0.038,0.054,1.62
2024/1/3 4:00,7.3,7.98,10.6,594.5,239,5.38,0.48,0.103,4.64
2024/1/3 4:00,7.3,7.98,10.6,594.5,239,5.38,0.48,0.103,4.64
2024/1/3 12:00,5.7,7.75,0.98,2422.3,3,5.38,0.609,0.04,3.72
2024/1/3 16:00,5.4,8.07,12.38,1251.3,30.8,5.38,0.072,0.14,2.89
2024/1/1 4:00,5.1,8.54,14.41,1617.8,12.2,5.38,0.28,0.051,1.64
2024/1/4 4:00,7.5,8,10.56,627,221.2,5.38,0.437,0.09,4.52
2024/1/4 8:00,5.4,8.94,14.43,1863.1,7.1,5.38,0.05,0.075,3.53
2024/1/4 8:00,17.6,7.77,8.36,197.8,24.1,5.38,0.053,0.098,2.08
2024/1/1 16:00,8.1,7.29,10.59,2125.2,3.3,5.38,0.04,0.073,8.78
2024/1/1 16:00,8.7,9.38,22.79,760,10.3,5.38,0.025,0.087,2.89
2024/1/1 16:00,9.8,8.18,8.35,465.4,17.7,5.38,0.475,0.043,1.77
2024/1/1 20:00,7.8,7,9,276.8,8.5,5.38,0.025,0.048,0.67
2024/1/1 20:00,3.4,8.24,7.99,1055.7,29.9,5.38,2.644,0.301,7.9
2024/1/1 20:00,7.8,7,9,276.8,8.5,5.38,0.025,0.048,0.67
2024/1/1 20:00,3.4,8.24,7.99,1055.7,29.9,5.38,2.644,0.301,7.9
2024/1/3 4:00,6.2,7.44,12.76,1640.6,2.7,5.37,0.225,0.073,6.74
2024/1/3 4:00,6.2,7.44,12.76,1640.6,2.7,5.37,0.225,0.073,6.74
2024/1/3 16:00,9,7.08,10.53,245.8,28,5.37,0.025,0.032,0.57
2024/1/3 16:00,6.6,8.11,12.88,273.5,162.5,5.37,0.025,0.051,0.3
2024/1/1 4:00,10.4,8.27,12.11,634.6,4.8,5.37,0.025,0.024,0.59
2024/1/4 8:00,4.9,8.84,15.14,953.6,2.5,5.37,0.064,0.103,2.82
2024/1/4 8:00,5.3,8.35,10,1601.3,3.1,5.37,0.033,0.039,1.7
2024/1/1 8:00,5,8.32,9.62,1589.8,3.4,5.37,0.041,0.04,1.62
2024/1/1 12:00,5.4,7.42,7.76,2173.4,47.1,5.37,0.745,0.142,7.17
2024/1/1 12:00,17.5,7.88,9.78,107.3,8,5.37,0.034,0.023,0.94
2024/1/1 16:00,5.9,8.48,15.63,1882.4,56.1,5.37,0.034,0.084,3.16
2024/1/1 20:00,9.2,7.76,10.07,274.6,226.4,5.37,0.831,0.242,5.29
2024/1/2 0:00,9.2,7.72,9.91,274.7,242.6,5.37,0.831,0.242,5.29
2024/1/2 16:00,20.3,7.3,4.28,19042.8,3.6,5.36,0.115,0.032,1.28
2024/1/2 20:00,9.1,5.99,7.13,39260.3,9.6,5.36,0.222,0.03,1.72
2024/1/2 20:00,3.2,8.23,7.94,1064,22.9,5.36,2.657,0.291,7.92
2024/1/3 0:00,8.7,6.09,8.63,39533,14.8,5.36,0.222,0.03,1.72
2024/1/2 20:00,3.2,8.23,7.94,1064,22.9,5.36,2.657,0.291,7.92
2024/1/3 12:00,9.7,7.99,11.59,621,2.5,5.36,0.025,0.031,0.83
2024/1/3 16:00,8,6.19,8.89,39673.1,12.2,5.36,0.321,0.031,1.85
2024/1/1 12:00,4.5,8.91,16.02,929.5,2.6,5.36,0.047,0.097,2.6
2024/1/1 12:00,5.9,7.39,12.35,1582.9,1.6,5.36,0.13,0.051,7.06
2024/1/1 12:00,5,8.34,12.93,1113.7,43.4,5.36,0.379,0.29,8.56
2024/1/1 16:00,6,7.4,12.72,1541.6,1.7,5.36,0.146,0.048,6.91
2024/1/1 20:00,9.7,7.82,11.46,627.4,2.5,5.36,0.033,0.04,1.23
2024/1/2 0:00,9.5,7.82,11.29,628.1,2.5,5.36,0.033,0.04,1.23
2024/1/2 8:00,3.9,6.97,16.01,542.3,20.1,5.36,0.18,0.084,3.44
2024/1/2 12:00,10.8,8.46,10.83,314.7,3.4,5.35,0.114,0.081,2.1
2024/1/2 16:00,0.7,7.39,9.16,666.3,7.2,5.35,0.778,0.141,7.47
2024/1/2 16:00,11,8.48,8.09,483.2,8.8,5.35,0.414,0.042,2.07
2024/1/3 8:00,10.8,8.38,7.56,484.2,7.4,5.35,0.393,0.043,2.24
2024/1/3 12:00,6.8,8.39,9.93,875.3,220.2,5.35,0.402,0.213,3.25
2024/1/3 16:00,9.9,7.75,11.72,599.4,340.4,5.35,2.808,0.228,3.17
2024/1/1 20:00,4.8,8.64,19.63,857.2,14.5,5.35,0.108,0.082,5.5
2024/1/1 20:00,6.9,8.04,10.23,618.6,134.8,5.35,0.554,0.113,4.43
2024/1/2 0:00,4.9,8.59,20.2,867.3,12.8,5.35,0.108,0.082,5.5
2024/1/2 8:00,5.8,8.56,14.03,546.5,20.1,5.35,0.025,0.058,3.68
2024/1/2 12:00,10.4,8.14,8.36,464.4,11,5.34,0.403,0.054,1.52
2024/1/2 16:00,18.4,8.6,13.26,3586.5,22.8,5.34,0.025,0.092,1.8
2024/1/3 16:00,8.1,7.95,10.82,610.6,206.3,5.34,0.438,0.106,4.72
2024/1/3 20:00,5.4,8.33,10,1588.1,4,5.34,0.036,0.039,1.7
2024/1/3 20:00,5.4,8.33,10,1588.1,4,5.34,0.036,0.039,1.7
2024/1/1 0:00,6.6,7.87,9.57,585.4,142.7,5.34,1.023,0.121,4.95
2024/1/1 4:00,9.7,8,11.25,780.1,4.5,5.34,0.025,0.037,2.15
2024/1/4 4:00,8.7,7.19,11.8,152.3,14.6,5.34,0.036,0.062,2.38
2024/1/1 8:00,8.7,7.86,11.06,655.7,4.2,5.34,0.028,0.09,0.9
2024/1/1 12:00,7.3,7.51,11.17,309,65.8,5.34,0.332,0.114,2.94
2024/1/1 16:00,5.6,8.9,14.14,1811.4,6,5.34,0.07,0.046,2.94
2024/1/2 8:00,5.5,8.36,13.13,587.1,64.3,5.34,0.109,0.086,5.89
2024/1/2 12:00,5.4,8.3,9.58,1593.3,4,5.33,0.043,0.038,1.65
2024/1/2 16:00,2.8,8.27,13.22,1608.3,5,5.33,0.981,0.16,11.69
2024/1/2 20:00,9.7,7.96,12.32,623.1,2.3,5.33,0.039,0.042,1.09
2024/1/3 0:00,9.6,7.98,12.05,623.9,2.5,5.33,0.039,0.042,1.09
2024/1/3 12:00,8.4,8.46,11.6,2252.5,17.9,5.33,0.208,0.17,3.72
2024/1/3 20:00,5.6,8.14,16.42,818.8,24.4,5.33,0.116,0.086,7.36
2024/1/4 0:00,5.1,8.06,15.54,825.6,24.9,5.33,0.116,0.086,7.36
2024/1/1 8:00,8.1,7.25,9.71,2083.3,2.9,5.33,0.032,0.071,8.92
2024/1/1 20:00,18.1,8.79,12.84,19587.9,11.6,5.33,0.172,0.111,4.26
2024/1/1 20:00,18.1,8.79,12.84,19587.9,11.6,5.33,0.172,0.111,4.26
2024/1/2 12:00,9.4,7.27,8.05,640,22.2,5.32,1.076,0.091,7.09
2024/1/2 12:00,17.8,7.67,8.28,18786.6,20.5,5.32,0.207,0.121,6.27
2024/1/2 16:00,9.4,7.64,9.12,862.7,6,5.32,0.298,0.085,5.07
2024/1/2 16:00,8.7,9.27,23.51,780,11.5,5.32,0.025,0.092,2.83
2024/1/2 20:00,9.8,8.92,18.48,4394.6,15.7,5.32,0.025,0.132,3.06
2024/1/3 0:00,9.8,8.92,18,4396.8,13.7,5.32,0.025,0.132,3.06
2024/1/3 4:00,5.6,7.99,11.32,1288.3,29.5,5.32,0.073,0.142,2.88
2024/1/3 4:00,5.6,7.99,11.32,1288.3,29.5,5.32,0.073,0.142,2.88
2024/1/3 16:00,5.4,8.37,19.2,1035.5,41.5,5.32,0.167,0.137,4.05
2024/1/1 4:00,5.1,7.95,11.81,1287.2,21.1,5.32,0.16,0.146,2.81
2024/1/4 8:00,10.8,8.74,9.73,445.9,14,5.32,0.127,0.05,4.64
2024/1/1 8:00,9.3,7.69,9.86,631.6,2.6,5.32,0.043,0.04,1.19
2024/1/1 8:00,6.6,8.02,10.29,605,163.6,5.32,0.725,0.114,4.65
2024/1/1 12:00,4.9,8.22,17.02,1214.7,53.5,5.32,0.336,0.122,3.69
2024/1/1 12:00,3.2,8.55,17.08,2875.1,22.4,5.32,0.06,0.052,4.84
2024/1/1 16:00,16.6,7.59,8.96,571.8,38.8,5.32,0.038,0.146,4.98
2024/1/1 20:00,7.2,7.78,13.12,1927.4,23.8,5.32,0.302,0.152,11.87
2024/1/2 0:00,6.2,7.77,12.28,1939,20.4,5.32,0.302,0.152,11.87
,6,8.93,14.03,838.1,13.5,5.32,0.038,0.056,1.61
2024/1/2 12:00,2.8,8.6,12.68,1422.7,20.4,5.31,0.617,0.103,9.09
2024/1/2 16:00,5.2,8.77,14.45,946.2,2.8,5.31,0.113,0.109,2.68
2024/1/2 16:00,8.3,8.9,16.24,366,16.5,5.31,0.025,0.136,2.06
2024/1/2 16:00,9.9,8.19,8.42,466.4,17.6,5.31,0.505,0.042,1.76
2024/1/3 4:00,5.8,8.28,12.69,303.7,199.3,5.31,0.025,0.087,0.38
2024/1/3 4:00,10.1,7.33,7.74,672,22.1,5.31,1.038,0.082,6.71
2024/1/3 8:00,5.7,8.27,12.65,303.3,208.6,5.31,0.025,0.087,0.38
2024/1/3 8:00,7.7,7.3,8.28,766.9,21.1,5.31,1.038,0.082,6.71
2024/1/3 16:00,6.1,8.3,9.68,1597.3,3.9,5.31,0.043,0.039,1.7
2024/1/3 20:00,11.3,8.46,8.02,481.6,9.1,5.31,0.38,0.042,2.38
2024/1/4 0:00,11.2,8.44,7.9,482.3,7.8,5.31,0.383,0.044,2.36
2024/1/1 4:00,5.6,6.04,7.82,40521.4,12.6,5.31,0.362,0.031,1.99
2024/1/4 4:00,11.2,8.77,9.36,447.6,12.6,5.31,0.122,0.048,4.54
2024/1/4 8:00,7.4,7.98,10.79,632.5,223.5,5.31,0.443,0.091,4.51
2024/1/4 8:00,7,7.29,8.83,714,20.6,5.31,0.921,0.092,6.36
2024/1/2 8:00,5.8,8.26,12.8,300,199.4,5.31,0.025,0.072,0.51
2024/1/2 12:00,7.3,7.99,10.87,585.2,218,5.3,0.548,0.108,4.57
2024/1/2 12:00,9.3,7.58,9.03,859.6,6.2,5.3,0.268,0.088,5.14
2024/1/3 12:00,2.4,8.27,17.75,1841.4,41.1,5.3,0.032,0.234,2.07
2024/1/1 4:00,9.8,8.07,7.8,467.8,17.2,5.3,0.54,0.041,1.96
2024/1/1 16:00,2.8,8.18,15.81,1641.6,26.4,5.3,0.096,0.257,2.22
2024/1/1 20:00,5.4,8.91,14.28,1818.1,6.4,5.3,0.05,0.044,2.98
2024/1/2 0:00,5.4,8.9,14.16,1819,6.1,5.3,0.05,0.044,2.98
,7.6,8.1,11.84,918.6,14.5,5.3,1.054,0.158,5.41
,5.4,8.32,9.65,1595.5,3.5,5.3,0.039,0.04,1.63
2024/1/2 12:00,19,7.52,8.84,152.1,14,5.29,0.025,0.173,1.64
2024/1/2 16:00,10.8,8.58,10.63,314.8,2.9,5.29,0.107,0.073,2.07
2024/1/3 12:00,17.7,7.56,8.04,15216.8,17.4,5.29,0.34,0.11,7.05
2024/1/3 12:00,18.1,7.84,8.97,23571.9,6.7,5.29,0.167,0.119,6.21
2024/1/3 16:00,10.1,7.82,10.14,281.9,267.4,5.29,0.638,0.159,4.61
2024/12/31 8:00,6.5,7.25,10.93,275.8,8.7,5.29,0.025,0.045,0.61
2024/1/1 4:00,10.5,8.37,11.94,1668.7,14.3,5.29,0.025,0.081,3.35
2024/1/1 16:00,7.3,6.97,8.56,275.6,8.4,5.29,0.025,0.048,0.73
,18.1,7.99,8.5,207.7,24.8,5.29,0.062,0.089,2.45
2024/1/2 12:00,6.1,7.41,12.87,1547.7,1.7,5.28,0.138,0.044,6.72
2024/1/2 20:00,9.7,7.34,8.31,642.3,23.1,5.28,0.966,0.078,6.56
2024/1/3 0:00,10.6,7.31,8.07,638.6,23.3,5.28,0.966,0.078,6.56
2024/1/3 20:00,8.9,7.1,10.61,245.6,31.9,5.28,0.025,0.031,0.53
2024/1/3 20:00,8.9,7.1,10.61,245.6,31.9,5.28,0.025,0.031,0.53
2024/1/1 4:00,4.1,8.87,15.42,929.4,2.4,5.28,0.045,0.088,2.5
2024/1/4 4:00,5,7.91,12.1,892.5,6.4,5.28,0.163,0.161,2.38
2024/1/4 4:00,5.4,8.35,9.87,1598,3.1,5.28,0.03,0.038,1.71
2024/1/1 8:00,7.6,7.56,12.5,290.1,14.3,5.28,0.801,0.162,3.81
2024/1/1 8:00,9.7,7.99,11.15,778,6.2,5.28,0.025,0.044,2.16
2024/1/1 12:00,9.5,7.73,10.52,629.2,2.2,5.28,0.04,0.038,1.25
2024/1/1 12:00,9.7,7.98,11.02,779.3,6.1,5.28,0.025,0.042,2.12
2024/1/1 20:00,8.1,7.29,10.3,2115,3.3,5.28,0.034,0.073,8.71
2024/1/1 20:00,5.4,8.01,12.04,1279.3,23.7,5.28,0.147,0.144,2.78
2024/1/1 20:00,5.3,8.34,9.96,1590.4,3.4,5.28,0.037,0.038,1.7
2024/1/1 20:00,8.1,7.29,10.3,2115,3.3,5.28,0.034,0.073,8.71
2024/1/1 20:00,5.4,8.01,12.04,1279.3,23.7,5.28,0.147,0.144,2.78
2024/1/1 20:00,5.3,8.34,9.96,1590.4,3.4,5.28,0.037,0.038,1.7
,9.7,8.09,7.98,466.6,16.9,5.28,0.415,0.041,1.68
2024/1/2 8:00,4.7,8.32,13.71,2233.7,7.5,5.28,0.23,0.185,3.44
2024/1/2 8:00,9.1,7.4,10.41,569.7,23.4,5.28,0.578,0.177,4.34
2024/1/2 12:00,5.7,8.6,14.53,1587.1,16,5.27,0.37,0.046,1.5
2024/1/2 16:00,12.4,7.84,7.94,2116.5,10.8,5.27,0.118,0.031,1.52
2024/1/2 16:00,9.1,7.86,11.98,659.7,4,5.27,0.025,0.088,1.04
2024/1/3 4:00,5.4,7.74,11.02,1985,18.9,5.27,0.594,0.153,11.82
2024/1/3 8:00,5.1,7.71,10.15,1973.5,15.5,5.27,0.594,0.153,11.82
2024/1/3 16:00,7,7.9,11.27,2312,30.1,5.27,0.397,0.184,3.37
2024/1/4 4:00,8.2,7.1,10.78,243.3,39.8,5.27,0.025,0.029,0.56
2024/1/4 8:00,8,7.99,8.99,1807.3,16.8,5.27,0.232,0.146,4.14
2024/1/1 16:00,5,8.25,17.39,1134.3,38.1,5.27,0.259,0.122,3.45
2024/1/1 16:00,4.7,8.88,15.48,933.1,2.5,5.27,0.065,0.093,2.6
2024/1/1 20:00,16.3,7.55,8.63,568.8,51.5,5.27,0.085,0.161,5
2024/1/1 20:00,16.3,7.55,8.63,568.8,51.5,5.27,0.085,0.161,5
